Bedroom,Landsize,YearBuilt,RegionName
3,314,2017,Western Metropolitan
3,566,1980,Western Metropolitan
3,544,1980,Western Metropolitan
4,546,1978,Western Metropolitan
3,211,1900,Southern Metropolitan
2,120,1900,Southern Metropolitan
4,153,1880,Southern Metropolitan
2,79,1890,Southern Metropolitan
4,327,1910,Southern Metropolitan
3,183,1880,Southern Metropolitan
1,81,1900,Southern Metropolitan
1,147,1900,Southern Metropolitan
3,147,1890,Southern Metropolitan
2,120,1900,Southern Metropolitan
2,199,1900,Southern Metropolitan
3,90,1900,Southern Metropolitan
3,238,1890,Southern Metropolitan
2,149,1890,Southern Metropolitan
2,141,1890,Southern Metropolitan
3,132,1996,Southern Metropolitan
3,177,1880,Southern Metropolitan
4,330,1910,Southern Metropolitan
3,211,1890,Southern Metropolitan
3,128,1890,Southern Metropolitan
2,130,1900,Southern Metropolitan
3,209,1900,Southern Metropolitan
3,147,1890,Southern Metropolitan
2,111,1915,Southern Metropolitan
3,178,1910,Southern Metropolitan
3,163,1890,Southern Metropolitan
3,149,1890,Southern Metropolitan
3,165,1890,Southern Metropolitan
2,324,1930,Southern Metropolitan
2,171,1900,Southern Metropolitan
3,162,1880,Southern Metropolitan
2,122,1890,Southern Metropolitan
4,177,1890,Southern Metropolitan
6,156,2011,Southern Metropolitan
2,672,1958,Western Metropolitan
2,534,1950,Western Metropolitan
3,697,1928,Western Metropolitan
3,605,1965,Western Metropolitan
1,2347,1975,Western Metropolitan
2,697,1950,Western Metropolitan
3,697,1920,Western Metropolitan
2,74,1970,Western Metropolitan
3,420,1970,Western Metropolitan
3,628,1960,Western Metropolitan
3,250,2013,Western Metropolitan
1,1175,1970,Western Metropolitan
3,181,2000,Western Metropolitan
3,247,2013,Western Metropolitan
3,716,1955,Western Metropolitan
3,423,1920,Western Metropolitan
3,175,2014,Western Metropolitan
5,732,1925,Western Metropolitan
3,638,1960,Western Metropolitan
2,463,1950,Western Metropolitan
3,697,1950,Western Metropolitan
3,292,2015,Western Metropolitan
3,180,2010,Northern Metropolitan
5,809,1910,Northern Metropolitan
4,589,1920,Northern Metropolitan
3,208,2013,Northern Metropolitan
4,599,1925,Northern Metropolitan
2,88,1960,Northern Metropolitan
2,155,2004,Northern Metropolitan
4,606,1970,Northern Metropolitan
4,575,2008,Northern Metropolitan
4,556,1930,Northern Metropolitan
3,528,1967,Northern Metropolitan
4,580,1930,Northern Metropolitan
1,60,1970,Northern Metropolitan
3,268,1994,Northern Metropolitan
3,595,1940,Northern Metropolitan
4,519,1920,Northern Metropolitan
4,1134,1962,Northern Metropolitan
4,471,1925,Northern Metropolitan
2,292,2013,Western Metropolitan
3,606,1950,Western Metropolitan
3,205,2007,Western Metropolitan
3,602,1955,Western Metropolitan
3,625,1960,Western Metropolitan
4,1057,1962,Western Metropolitan
2,175,2013,Western Metropolitan
4,532,1970,Western Metropolitan
3,352,2015,Western Metropolitan
2,127,1990,Western Metropolitan
2,115,1980,Western Metropolitan
3,777,1953,Western Metropolitan
3,280,1997,Western Metropolitan
2,675,1950,Western Metropolitan
5,729,2005,Western Metropolitan
4,745,1950,Western Metropolitan
3,534,1965,Western Metropolitan
2,178,2009,Western Metropolitan
5,725,1980,Western Metropolitan
2,132,1980,Western Metropolitan
3,284,1988,Western Metropolitan
3,200,2007,Western Metropolitan
3,159,2014,Western Metropolitan
4,288,1970,Western Metropolitan
3,530,1985,Western Metropolitan
2,63,1975,Western Metropolitan
3,534,1940,Western Metropolitan
3,534,1988,Western Metropolitan
3,205,1990,Western Metropolitan
3,466,1975,Western Metropolitan
4,749,1989,Western Metropolitan
4,636,1996,Western Metropolitan
4,591,1988,Western Metropolitan
3,194,2002,Western Metropolitan
4,808,1970,Western Metropolitan
3,560,1990,Western Metropolitan
4,489,2000,Western Metropolitan
3,530,1980,Western Metropolitan
4,503,1990,Western Metropolitan
3,328,1970,Western Metropolitan
3,171,2012,Western Metropolitan
3,534,1967,Western Metropolitan
3,531,1960,Western Metropolitan
3,590,1950,Western Metropolitan
3,715,2008,Western Metropolitan
2,153,1970,Western Metropolitan
5,592,1965,Western Metropolitan
3,533,1970,Western Metropolitan
3,559,1965,Western Metropolitan
3,585,1960,Western Metropolitan
3,540,1960,Western Metropolitan
4,633,1960,Western Metropolitan
3,555,1960,Western Metropolitan
2,77,2009,Western Metropolitan
2,252,1965,Western Metropolitan
3,535,1970,Western Metropolitan
3,559,1950,Western Metropolitan
3,672,1960,Western Metropolitan
3,529,1965,Western Metropolitan
4,562,1950,Western Metropolitan
2,170,2001,Western Metropolitan
3,553,1960,Western Metropolitan
3,693,1950,Western Metropolitan
3,535,1970,Western Metropolitan
3,534,1970,Western Metropolitan
3,537,1960,Western Metropolitan
3,323,2016,Western Metropolitan
3,441,1975,Western Metropolitan
3,557,1970,Western Metropolitan
3,697,1960,Western Metropolitan
3,739,1970,Western Metropolitan
3,642,1970,Western Metropolitan
3,604,1946,Western Metropolitan
4,602,1970,Western Metropolitan
4,601,1970,Western Metropolitan
3,2113,1970,Southern Metropolitan
3,328,1900,Southern Metropolitan
4,1581,1934,Southern Metropolitan
2,212,1900,Southern Metropolitan
5,1491,1935,Southern Metropolitan
2,144,1900,Southern Metropolitan
3,405,1910,Southern Metropolitan
4,495,1900,Southern Metropolitan
2,249,1910,Southern Metropolitan
4,624,1900,Southern Metropolitan
4,709,1900,Southern Metropolitan
4,563,2000,Southern Metropolitan
3,103,2000,Southern Metropolitan
3,617,1998,Southern Metropolitan
3,101,2000,Southern Metropolitan
3,296,1889,Southern Metropolitan
2,2471,1970,Southern Metropolitan
2,1194,1953,Southern Metropolitan
3,186,1920,Southern Metropolitan
3,217,1888,Southern Metropolitan
3,205,1910,Southern Metropolitan
2,869,1980,Southern Metropolitan
3,1803,2011,Southern Metropolitan
2,1097,1967,Southern Metropolitan
3,348,1952,Southern Metropolitan
3,256,1910,Southern Metropolitan
4,847,1935,Southern Metropolitan
2,369,1925,Southern Metropolitan
2,3093,2006,Southern Metropolitan
2,181,1930,Southern Metropolitan
2,269,1910,Southern Metropolitan
4,574,1910,Southern Metropolitan
4,761,1900,Southern Metropolitan
3,1889,1920,Southern Metropolitan
4,474,1915,Southern Metropolitan
3,387,1915,Southern Metropolitan
3,167,1910,Southern Metropolitan
4,550,1890,Southern Metropolitan
3,263,1930,Southern Metropolitan
4,562,1890,Western Metropolitan
4,461,1900,Western Metropolitan
2,301,1995,Western Metropolitan
3,491,1950,Western Metropolitan
3,272,1900,Western Metropolitan
3,350,1904,Western Metropolitan
2,118,1890,Western Metropolitan
2,173,1900,Western Metropolitan
3,683,1978,Western Metropolitan
3,263,1910,Western Metropolitan
4,418,1900,Western Metropolitan
2,278,1900,Western Metropolitan
3,285,1900,Western Metropolitan
2,214,1890,Western Metropolitan
6,1014,1887,Western Metropolitan
2,113,1998,Western Metropolitan
2,252,1910,Western Metropolitan
2,124,1900,Western Metropolitan
3,242,1920,Western Metropolitan
3,285,2011,Western Metropolitan
3,314,2010,Western Metropolitan
3,576,1940,Western Metropolitan
4,598,2012,Western Metropolitan
2,269,1900,Western Metropolitan
3,417,1900,Western Metropolitan
3,495,1920,Western Metropolitan
3,452,1960,Western Metropolitan
2,194,1900,Western Metropolitan
2,226,1900,Western Metropolitan
3,617,1930,Western Metropolitan
4,597,1939,Western Metropolitan
3,296,1910,Western Metropolitan
4,298,1920,Western Metropolitan
4,594,1960,Western Metropolitan
4,559,1920,Western Metropolitan
2,228,1995,Western Metropolitan
3,431,1950,Western Metropolitan
3,440,1955,Western Metropolitan
3,532,1950,Western Metropolitan
3,318,2013,Western Metropolitan
3,200,2003,Western Metropolitan
4,349,1920,Western Metropolitan
3,298,1920,Western Metropolitan
4,300,1890,Western Metropolitan
3,487,1900,Western Metropolitan
2,1957,2012,Western Metropolitan
4,552,1920,Western Metropolitan
3,416,1900,Western Metropolitan
3,277,1910,Western Metropolitan
2,423,1970,Western Metropolitan
4,478,1900,Western Metropolitan
3,623,1938,Western Metropolitan
2,146,2015,Western Metropolitan
3,450,1920,Western Metropolitan
5,468,1925,Western Metropolitan
2,226,1920,Western Metropolitan
3,209,2009,Western Metropolitan
6,1012,1887,Western Metropolitan
3,257,1915,Western Metropolitan
3,217,1910,Western Metropolitan
3,254,2000,Western Metropolitan
3,382,2008,Western Metropolitan
4,360,1910,Western Metropolitan
4,165,1910,Western Metropolitan
3,150,1990,Western Metropolitan
3,196,1900,Western Metropolitan
3,2905,2005,Western Metropolitan
2,1727,1960,Western Metropolitan
2,234,1910,Western Metropolitan
3,199,1900,Western Metropolitan
2,1017,1972,Western Metropolitan
3,388,1950,Western Metropolitan
3,3215,1900,Western Metropolitan
2,138,1900,Western Metropolitan
3,619,1930,Western Metropolitan
4,475,1900,Western Metropolitan
2,320,1950,Western Metropolitan
5,601,1920,Western Metropolitan
3,446,1890,Western Metropolitan
4,561,1950,Western Metropolitan
4,520,1890,Western Metropolitan
3,1350,1890,Western Metropolitan
3,438,1960,Western Metropolitan
3,223,2010,Western Metropolitan
3,272,1910,Western Metropolitan
2,131,2016,Western Metropolitan
4,466,1900,Western Metropolitan
3,351,1900,Western Metropolitan
3,351,2006,Southern Metropolitan
4,514,1935,Southern Metropolitan
3,731,1935,Southern Metropolitan
3,605,1950,Southern Metropolitan
2,687,1940,Southern Metropolitan
6,1075,2010,Southern Metropolitan
3,710,1945,Southern Metropolitan
3,697,1947,Southern Metropolitan
4,753,2015,Southern Metropolitan
9,1472,2009,Southern Metropolitan
4,681,1940,Southern Metropolitan
3,516,1920,Southern Metropolitan
3,276,2004,Southern Metropolitan
3,583,1950,Southern Metropolitan
3,702,1945,Southern Metropolitan
4,780,1938,Southern Metropolitan
3,153,1990,Southern Metropolitan
4,321,2007,Southern Metropolitan
5,700,1950,Southern Metropolitan
4,696,2000,Southern Metropolitan
3,295,1990,Southern Metropolitan
3,599,1930,Southern Metropolitan
3,310,2014,Southern Metropolitan
3,806,1950,Southern Metropolitan
3,780,1940,Southern Metropolitan
4,749,1950,Southern Metropolitan
3,724,1940,Southern Metropolitan
2,710,2010,Southern Metropolitan
5,755,2015,Southern Metropolitan
4,480,2016,Southern Metropolitan
4,510,2013,Southern Metropolitan
4,604,1930,Southern Metropolitan
4,267,2012,Southern Metropolitan
3,634,1940,Southern Metropolitan
4,391,2016,Southern Metropolitan
4,338,2005,Southern Metropolitan
3,1170,1950,Southern Metropolitan
3,649,1950,Southern Metropolitan
3,407,1955,Southern Metropolitan
4,572,1930,Southern Metropolitan
3,689,1940,Southern Metropolitan
3,416,2000,Southern Metropolitan
3,637,1947,Southern Metropolitan
4,626,1950,Southern Metropolitan
5,697,2013,Southern Metropolitan
2,216,2003,Southern Metropolitan
3,839,1970,Southern Metropolitan
2,695,1950,Southern Metropolitan
2,621,2000,Southern Metropolitan
2,192,2007,Southern Metropolitan
2,212,2012,Southern Metropolitan
3,792,1950,Southern Metropolitan
5,585,2000,Southern Metropolitan
2,586,1950,Southern Metropolitan
3,782,1950,Southern Metropolitan
4,593,1930,Southern Metropolitan
2,367,1970,Southern Metropolitan
3,400,1950,Southern Metropolitan
3,557,1960,Southern Metropolitan
3,256,2012,Southern Metropolitan
3,760,1960,Southern Metropolitan
3,320,1958,Southern Metropolitan
4,372,2016,Southern Metropolitan
2,153,1970,Southern Metropolitan
2,803,1950,Southern Metropolitan
2,78,1970,Southern Metropolitan
2,162,2010,Southern Metropolitan
3,235,2006,Southern Metropolitan
4,726,1958,Southern Metropolitan
3,280,1990,Southern Metropolitan
3,726,1965,Southern Metropolitan
4,803,1965,Southern Metropolitan
3,343,2000,Southern Metropolitan
4,668,1970,Southern Metropolitan
3,787,1955,Southern Metropolitan
4,701,1950,Southern Metropolitan
3,698,1945,Southern Metropolitan
4,746,1960,Southern Metropolitan
3,621,1960,Southern Metropolitan
3,692,1920,South-Eastern Metropolitan
4,557,1920,South-Eastern Metropolitan
4,633,1930,South-Eastern Metropolitan
4,635,1933,South-Eastern Metropolitan
4,741,1935,South-Eastern Metropolitan
4,676,1940,South-Eastern Metropolitan
3,737,1940,South-Eastern Metropolitan
4,760,1999,Northern Metropolitan
4,600,2011,Northern Metropolitan
4,656,1982,Northern Metropolitan
4,657,2004,Northern Metropolitan
4,704,2000,Northern Metropolitan
4,630,2000,Northern Metropolitan
3,581,1960,Western Metropolitan
4,873,1992,Western Metropolitan
3,586,1965,Western Metropolitan
4,582,1950,Western Metropolitan
3,569,2008,Western Metropolitan
4,589,1961,Western Metropolitan
3,570,1970,Western Metropolitan
3,590,1960,Western Metropolitan
3,593,1970,Western Metropolitan
2,220,1995,Western Metropolitan
4,554,1960,Western Metropolitan
3,260,1990,Western Metropolitan
2,158,1993,Western Metropolitan
3,550,1970,Western Metropolitan
3,593,1970,Western Metropolitan
4,585,1960,Western Metropolitan
3,557,2017,Western Metropolitan
4,761,1970,Western Metropolitan
2,136,2012,Western Metropolitan
4,350,2008,Western Metropolitan
2,263,1999,Western Metropolitan
3,585,1960,Western Metropolitan
3,292,2008,Western Metropolitan
4,656,1990,Western Metropolitan
4,573,1960,Western Metropolitan
5,570,1950,Western Metropolitan
3,585,1965,Western Metropolitan
4,344,2004,Western Metropolitan
3,582,1965,Western Metropolitan
3,668,2014,Western Metropolitan
4,581,1975,Western Metropolitan
3,561,1990,Western Metropolitan
5,577,1985,Western Metropolitan
2,1150,1970,Western Metropolitan
3,595,1950,Western Metropolitan
3,550,1975,Western Metropolitan
3,590,1960,Western Metropolitan
3,580,1950,Western Metropolitan
3,201,2005,Western Metropolitan
4,612,1970,Western Metropolitan
3,668,1980,Western Metropolitan
3,537,1970,Western Metropolitan
4,604,1970,Western Metropolitan
4,534,2000,Western Metropolitan
3,534,1960,Western Metropolitan
3,641,1970,Western Metropolitan
3,409,1975,Western Metropolitan
3,818,1990,Western Victoria
3,178,1920,Southern Metropolitan
2,483,1970,Southern Metropolitan
3,157,1928,Southern Metropolitan
3,244,1900,Southern Metropolitan
2,114,2000,Southern Metropolitan
2,159,1930,Southern Metropolitan
3,339,1890,Southern Metropolitan
2,2283,1980,Southern Metropolitan
2,156,1890,Southern Metropolitan
3,188,1970,Southern Metropolitan
3,699,1985,Southern Metropolitan
4,1007,1910,Southern Metropolitan
3,259,1940,Southern Metropolitan
5,715,2009,Southern Metropolitan
4,981,1960,Southern Metropolitan
3,175,1976,Southern Metropolitan
5,678,2001,Southern Metropolitan
3,739,1930,Southern Metropolitan
2,231,1985,Southern Metropolitan
3,380,1980,Southern Metropolitan
3,306,1995,Southern Metropolitan
3,672,1935,Southern Metropolitan
3,1015,1930,Southern Metropolitan
3,209,1975,Southern Metropolitan
2,115,1960,Southern Metropolitan
2,130,1960,Southern Metropolitan
3,404,2011,Southern Metropolitan
3,607,1950,Southern Metropolitan
2,659,1920,Southern Metropolitan
4,715,1985,Southern Metropolitan
2,208,2000,Southern Metropolitan
4,685,1940,Southern Metropolitan
3,577,1948,Southern Metropolitan
4,674,1997,Southern Metropolitan
4,241,2009,Southern Metropolitan
4,935,1927,Southern Metropolitan
4,752,1981,Southern Metropolitan
2,213,1980,Southern Metropolitan
3,706,1930,Southern Metropolitan
3,613,1943,Southern Metropolitan
3,206,1998,Southern Metropolitan
5,715,2009,Southern Metropolitan
4,744,1985,Southern Metropolitan
2,122,1977,Southern Metropolitan
6,2051,1935,Southern Metropolitan
5,600,2006,Southern Metropolitan
3,281,1995,Southern Metropolitan
3,219,2003,Southern Metropolitan
5,642,1930,Southern Metropolitan
2,87,1990,Southern Metropolitan
3,329,2005,Southern Metropolitan
2,136,1975,Southern Metropolitan
2,1129,1960,Southern Metropolitan
3,752,1938,Southern Metropolitan
1,678,2016,Southern Metropolitan
4,613,2009,Southern Metropolitan
3,656,1970,Southern Metropolitan
4,848,1926,Southern Metropolitan
5,1235,2016,Southern Metropolitan
3,679,1940,Southern Metropolitan
5,621,2009,Southern Metropolitan
3,317,1994,Southern Metropolitan
5,611,2017,Southern Metropolitan
3,998,1955,Southern Metropolitan
4,650,1940,Southern Metropolitan
5,600,2011,Southern Metropolitan
3,893,1948,Southern Metropolitan
5,673,2013,Southern Metropolitan
5,725,1970,Southern Metropolitan
4,1561,1915,Southern Metropolitan
4,663,1940,Southern Metropolitan
5,1242,1952,Southern Metropolitan
5,1105,1935,Southern Metropolitan
5,678,1930,Southern Metropolitan
4,525,1910,Southern Metropolitan
3,604,1950,Southern Metropolitan
5,1280,2006,Southern Metropolitan
4,1235,1960,Southern Metropolitan
4,662,1965,Southern Metropolitan
3,310,2012,Southern Metropolitan
5,637,2008,Southern Metropolitan
3,665,1970,Southern Metropolitan
2,177,1975,Southern Metropolitan
3,368,2009,Southern Metropolitan
4,737,1950,Southern Metropolitan
3,458,1997,Southern Metropolitan
3,800,1950,Southern Metropolitan
5,900,1955,Southern Metropolitan
5,1364,2013,Southern Metropolitan
5,842,1961,Southern Metropolitan
4,701,1960,Southern Metropolitan
3,754,1960,Southern Metropolitan
4,654,1960,Southern Metropolitan
3,713,1950,Southern Metropolitan
4,939,1957,Southern Metropolitan
3,886,2013,Southern Metropolitan
3,645,1953,Southern Metropolitan
3,763,1960,Southern Metropolitan
2,854,1948,Southern Metropolitan
4,587,1960,Southern Metropolitan
4,730,1960,Southern Metropolitan
3,720,1955,Southern Metropolitan
3,260,2000,Southern Metropolitan
3,778,1950,Southern Metropolitan
4,1135,1960,Southern Metropolitan
4,610,1993,Southern Metropolitan
4,657,2006,Southern Metropolitan
3,517,1970,Southern Metropolitan
2,250,1995,Southern Metropolitan
4,1274,1970,Southern Metropolitan
4,624,1967,Southern Metropolitan
5,710,1955,Southern Metropolitan
5,1002,1950,Southern Metropolitan
3,605,1950,Southern Metropolitan
3,722,1930,Southern Metropolitan
5,705,2013,Southern Metropolitan
4,619,1990,Southern Metropolitan
4,1010,1950,Southern Metropolitan
3,949,1940,Southern Metropolitan
3,186,2010,Southern Metropolitan
3,635,1960,Southern Metropolitan
3,657,1960,Southern Metropolitan
5,900,1955,Southern Metropolitan
5,845,1980,Southern Metropolitan
4,647,1955,Southern Metropolitan
5,760,2015,Southern Metropolitan
4,642,1955,Southern Metropolitan
3,888,1950,Southern Metropolitan
4,750,1950,Southern Metropolitan
3,347,2011,Southern Metropolitan
4,715,1939,Southern Metropolitan
4,1070,1992,Southern Metropolitan
4,644,1950,Southern Metropolitan
6,808,1974,Southern Metropolitan
4,673,1960,Southern Metropolitan
3,665,1950,Southern Metropolitan
4,772,1955,Southern Metropolitan
4,736,1958,Southern Metropolitan
4,869,1950,Southern Metropolitan
4,667,1974,Southern Metropolitan
4,362,2014,Southern Metropolitan
2,667,1955,Southern Metropolitan
4,627,1970,Southern Metropolitan
3,350,1950,Southern Metropolitan
4,636,1960,Southern Metropolitan
2,196,1994,Southern Metropolitan
3,975,1985,Southern Metropolitan
3,260,2001,Southern Metropolitan
4,526,2006,Southern Metropolitan
5,629,1940,Southern Metropolitan
3,697,1955,Southern Metropolitan
2,134,1970,Southern Metropolitan
3,292,2010,Southern Metropolitan
4,1138,1950,Southern Metropolitan
5,836,1970,Southern Metropolitan
2,140,1970,Southern Metropolitan
3,226,1965,Southern Metropolitan
4,392,2007,Southern Metropolitan
3,301,1995,Southern Metropolitan
5,742,1980,Southern Metropolitan
4,929,1960,Southern Metropolitan
2,327,1975,Southern Metropolitan
4,605,1938,Southern Metropolitan
4,433,1955,Southern Metropolitan
4,958,2015,Southern Metropolitan
4,654,2010,Southern Metropolitan
3,632,1940,Southern Metropolitan
5,1173,1960,Southern Metropolitan
5,711,1960,Southern Metropolitan
5,743,1949,Southern Metropolitan
4,700,2007,Southern Metropolitan
2,132,1960,Southern Metropolitan
5,660,2011,Southern Metropolitan
3,622,1952,Southern Metropolitan
4,620,1965,Southern Metropolitan
3,592,1955,Southern Metropolitan
4,716,2008,Southern Metropolitan
2,244,1990,Southern Metropolitan
5,646,2016,Southern Metropolitan
5,643,1955,Southern Metropolitan
4,710,2016,Southern Metropolitan
5,660,2012,Southern Metropolitan
3,717,2004,Southern Metropolitan
4,961,1970,Southern Metropolitan
5,1005,1950,Southern Metropolitan
3,676,1950,Southern Metropolitan
4,436,1930,Southern Metropolitan
4,836,1940,Southern Metropolitan
4,836,1935,Southern Metropolitan
4,576,2013,Southern Metropolitan
4,823,1935,Southern Metropolitan
5,680,1940,Southern Metropolitan
4,270,2009,Southern Metropolitan
4,765,1975,Eastern Metropolitan
5,992,1970,Eastern Metropolitan
3,509,1980,Eastern Metropolitan
4,304,1970,Eastern Metropolitan
4,993,1966,Eastern Metropolitan
3,187,2010,Eastern Metropolitan
2,158,1975,Eastern Metropolitan
3,424,1970,Eastern Metropolitan
3,725,1980,Eastern Metropolitan
3,721,1965,Eastern Metropolitan
3,1028,1980,Eastern Metropolitan
3,719,1975,Eastern Metropolitan
3,586,1999,Eastern Metropolitan
3,263,1970,Eastern Metropolitan
3,792,1980,Eastern Metropolitan
4,656,1975,Eastern Metropolitan
4,900,2005,Eastern Victoria
4,1031,1960,Eastern Victoria
4,704,2014,Southern Metropolitan
2,633,1960,Southern Metropolitan
4,554,1925,Southern Metropolitan
3,252,2007,Southern Metropolitan
3,612,1950,Southern Metropolitan
5,1254,1980,Southern Metropolitan
3,335,1996,Southern Metropolitan
4,650,1985,Southern Metropolitan
4,789,1980,Southern Metropolitan
6,720,2008,Southern Metropolitan
6,695,1980,Southern Metropolitan
3,567,1947,Southern Metropolitan
4,650,1970,Southern Metropolitan
3,667,1950,Southern Metropolitan
4,1105,2005,Southern Metropolitan
4,353,2010,Southern Metropolitan
3,759,1928,Southern Metropolitan
4,689,1950,Southern Metropolitan
3,631,1950,Eastern Metropolitan
3,609,1950,Eastern Metropolitan
3,626,1955,Eastern Metropolitan
3,231,2012,Eastern Metropolitan
3,601,1950,Eastern Metropolitan
2,617,1960,Eastern Metropolitan
4,654,1960,Eastern Metropolitan
3,612,1950,Eastern Metropolitan
3,299,2000,Southern Metropolitan
3,565,1940,Southern Metropolitan
3,418,1925,Southern Metropolitan
7,607,1950,Southern Metropolitan
3,576,1945,Southern Metropolitan
5,772,1986,Southern Metropolitan
3,694,1950,Southern Metropolitan
4,736,1950,Southern Metropolitan
3,624,1950,Southern Metropolitan
4,576,1920,Southern Metropolitan
3,570,1930,Southern Metropolitan
2,123,2007,Southern Metropolitan
3,291,2012,Southern Metropolitan
3,692,1940,Southern Metropolitan
3,795,1928,Southern Metropolitan
2,227,1990,Southern Metropolitan
4,611,1970,Southern Metropolitan
2,274,1970,Southern Metropolitan
4,579,2012,Southern Metropolitan
2,572,1930,Southern Metropolitan
3,594,1940,Southern Metropolitan
5,664,1950,Southern Metropolitan
4,579,2012,Southern Metropolitan
2,202,1974,Southern Metropolitan
3,348,1950,Southern Metropolitan
3,362,1997,Southern Metropolitan
3,610,1940,Southern Metropolitan
3,526,1910,Southern Metropolitan
4,271,2010,Southern Metropolitan
3,758,1960,Southern Metropolitan
3,581,1965,Southern Metropolitan
3,584,1948,Southern Metropolitan
3,632,1950,Southern Metropolitan
3,723,1925,Southern Metropolitan
3,690,1970,Southern Metropolitan
4,354,2008,Southern Metropolitan
4,697,1940,Southern Metropolitan
2,226,2005,Southern Metropolitan
4,855,1930,Southern Metropolitan
2,336,1960,Southern Metropolitan
4,346,2010,Southern Metropolitan
6,708,1988,Southern Metropolitan
3,613,1960,Southern Metropolitan
2,140,1970,Southern Metropolitan
2,296,1940,Southern Metropolitan
2,116,1960,Southern Metropolitan
4,902,1950,Southern Metropolitan
4,557,2008,Southern Metropolitan
3,613,1950,Southern Metropolitan
5,567,1926,Southern Metropolitan
2,677,2012,Southern Metropolitan
3,147,2007,Southern Metropolitan
6,702,1926,Southern Metropolitan
3,681,1960,Southern Metropolitan
4,207,2007,Southern Metropolitan
3,334,2006,Southern Metropolitan
3,338,2012,Southern Metropolitan
